time, U, V, W
21.606,0.398583084,0.01583723,0.0212541856
21.6125,0.40485394,0.0139054945,0.0180068
21.619,0.412361443,0.0119335353,0.0143659739
21.6255,0.4209017,0.0101282578,0.0104345689
21.632,0.430025071,0.008624573,0.0063752234
21.6385,0.439126819,0.00742379157,0.002365446
21.645,0.447815329,0.00652315933,-0.00140831363
21.6515,0.4557781,0.005878239,-0.004804439
21.658,0.4628142,0.00544161,-0.00771537051
21.6645,0.468983233,0.005222575,-0.0100731729
21.671,0.474372864,0.00518911844,-0.0119354744
21.6775,0.479119539,0.00529649,-0.013402082
21.684,0.4833877,0.00547464052,-0.0146045219
21.6905,0.487255663,0.00564304227,-0.0157059543
21.697,0.490810215,0.005755172,-0.0167711973
21.7035,0.494160354,0.00578554254,-0.0178110078
21.71,0.497448862,0.005789349,-0.0186355785
21.7165,0.500865757,0.005641001,-0.0194225647
21.723,0.5043932,0.00526363961,-0.0203441158
21.7295,0.507861733,0.00463652564,-0.0215790682
21.736,0.510953069,0.003701292,-0.0234960876
21.7425,0.5133573,0.00276547461,-0.0258641038
21.749,0.51493293,0.00210545,-0.028217813
21.7555,0.5156567,0.00187719241,-0.03003771
21.762,0.5155684,0.00221478241,-0.030662246
21.7685,0.5148081,0.00303023588,-0.0295826849
21.775,0.51353997,0.004149413,-0.0266826749
21.7815,0.511921644,0.005465016,-0.0220778231
21.788,0.510122836,0.006876395,-0.01609437
21.7945,0.50836,0.008306844,-0.009299695
21.801,0.5069249,0.009630781,-0.00245475722
21.8075,0.506065,0.01068878,0.003846715
21.814,0.505997,0.0113021266,0.009072855
21.8205,0.5069187,0.0112811672,0.0127299558
21.827,0.508769751,0.0106763393,0.01480468
21.8335,0.5115762,0.009579755,0.0153038334
21.84,0.51531744,0.008133003,0.014361158
21.8465,0.519981146,0.00645893859,0.0121538322
21.853,0.5252831,0.004739688,0.008953798
21.8595,0.5310077,0.00311781559,0.00501168054
21.866,0.536985755,0.00169170275,0.000590326032
21.8725,0.5430396,0.00053953,-0.003939309
21.879,0.5492101,-0.0004173957,-0.00848120451
21.8855,0.555452645,-0.00125624542,-0.0130311027
21.892,0.5616199,-0.00202156929,-0.0175614953
21.8985,0.5675143,-0.00273692515,-0.0220495556
21.905,0.5727973,-0.00339117134,-0.0261844248
21.9115,0.577170968,-0.003953969,-0.0295508746
21.918,0.58047986,-0.00438728649,-0.03187049
21.9245,0.582715,-0.00464734947,-0.0329717062
21.931,0.584068,-0.00472479034,-0.0328977033
21.9375,0.5848316,-0.00467424933,-0.0318994634
21.944,0.585216641,-0.00454888865,-0.0302036349
21.9505,0.585386753,-0.00439542346,-0.0280612465
21.957,0.5854747,-0.004232607,-0.0257330779
21.9635,0.585646868,-0.00406879839,-0.0234955531
21.97,0.5860489,-0.00393926,-0.0215639733
21.9765,0.5867798,-0.00388494669,-0.0200860463
21.983,0.58789,-0.00394003,-0.01915572
21.9895,0.589352965,-0.00408144,-0.0187101513
21.996,0.5911441,-0.00431457348,-0.0187153853
22.0025,0.5932028,-0.004663996,-0.0191205
22.009,0.595449567,-0.005197426,-0.0199255757
22.0155,0.59772414,-0.005905227,-0.0210131314
22.022,0.599849463,-0.00672549848,-0.0222185347
22.0285,0.601652,-0.00757970568,-0.0233856887
22.035,0.6029597,-0.0083401,-0.0243251286
22.0415,0.603708744,-0.008972342,-0.0250873938
22.048,0.603890538,-0.009519098,-0.0258178543
22.0545,0.6034837,-0.0100053921,-0.026563907
22.061,0.6024503,-0.01045591,-0.027327884
22.0675,0.600774646,-0.0107863182,-0.0280340724
22.074,0.5985727,-0.0108536463,-0.0286325067
22.0805,0.596009552,-0.0106276218,-0.0291639436
22.087,0.593212,-0.01019248,-0.02966687
22.0935,0.590190768,-0.009733212,-0.0301200431
22.1,0.587111056,-0.00923491,-0.0305496044
22.1065,0.5841798,-0.008684043,-0.0310126171
22.113,0.5815491,-0.008105216,-0.0315927863
22.1195,0.5792047,-0.00755700842,-0.03237783
22.126,0.5768937,-0.00714810239,-0.0332491063
22.1325,0.5745765,-0.00685103843,-0.03414567
22.139,0.5723419,-0.006629582,-0.0350411981
22.1455,0.5704098,-0.006575743,-0.0359851941
22.152,0.5686319,-0.00673486851,-0.036973156
22.1585,0.566798031,-0.007052672,-0.0379318856
22.165,0.5648009,-0.007412275,-0.0387680456
22.1715,0.56274873,-0.007657373,-0.03935449
22.178,0.5607603,-0.007874254,-0.0396584868
22.1845,0.5586941,-0.008166992,-0.03968328
22.191,0.556348,-0.008490831,-0.0393896475
22.1975,0.5535683,-0.00867575,-0.0386920422
22.204,0.550523,-0.008541915,-0.03736726
22.2105,0.5474591,-0.008080488,-0.035178028
22.217,0.5443942,-0.007296102,-0.0319976136
22.2235,0.5411853,-0.00616408233,-0.0278377086
22.23,0.537680268,-0.00461989362,-0.022839902
22.2365,0.53424,-0.00275406,-0.017044954
22.243,0.5310955,-0.00072398904,-0.0106398137
22.2495,0.5283733,0.00129963772,-0.004005965
22.256,0.52601105,0.00320768356,0.00225103949
22.2625,0.524129,0.004899507,0.00732770469
22.269,0.522917867,0.00614539534,0.0106676538
22.2755,0.522490263,0.00668706326,0.0118937185
22.282,0.5228858,0.006222601,0.0107567115
22.2885,0.5236465,0.004875324,0.007050018
22.295,0.524549663,0.00286105764,0.000899905048
22.3015,0.5255671,0.000427652616,-0.007189909
22.308,0.5267813,-0.00212623551,-0.01635291
22.3145,0.528288245,-0.004554593,-0.0256500542
22.321,0.5301584,-0.006649385,-0.034479335
22.3275,0.532500863,-0.008277278,-0.042437382
22.334,0.5354137,-0.009418911,-0.0493115038
22.3405,0.538882434,-0.010194662,-0.05492747
22.347,0.5427521,-0.0107459631,-0.05916456
22.3535,0.5468708,-0.01115079,-0.0621348768
22.36,0.551223338,-0.0114444979,-0.0640998557
22.3665,0.556023,-0.0116046406,-0.06542111
22.373,0.561320662,-0.0115957363,-0.06616688
22.3795,0.5669584,-0.011414838,-0.06630386
22.386,0.5725463,-0.011082612,-0.06575251
22.3925,0.5773856,-0.0107371667,-0.06432196
22.399,0.581340432,-0.0102817845,-0.0623553135
22.4055,0.5845355,-0.009671218,-0.0601248778
22.412,0.5873665,-0.008896384,-0.0579083562
22.4185,0.5906458,-0.007869921,-0.0559942275
22.425,0.5943154,-0.007104912,-0.0543323942
22.4315,0.5978989,-0.007013115,-0.05291517
22.438,0.6006329,-0.00779360533,-0.0517814122
22.4445,0.6013055,-0.009532583,-0.05099853
22.451,0.5997066,-0.0117054461,-0.0506539531
22.4575,0.5962484,-0.0137640806,-0.050747633
22.464,0.591356039,-0.0153884934,-0.0512427576
22.4705,0.5856785,-0.0163233373,-0.0522354357
22.477,0.57937783,-0.01663713,-0.05374751
22.4835,0.572154939,-0.0166213419,-0.0554569028
22.49,0.564082146,-0.0164052434,-0.05706749
22.4965,0.5552249,-0.0161197763,-0.0582077
22.503,0.5456344,-0.0158591066,-0.05866088
22.5095,0.535741746,-0.0154989026,-0.0590055957
22.516,0.5256023,-0.0150950253,-0.0595022775
22.5225,0.5152662,-0.0146908984,-0.0603308231
22.529,0.50522095,-0.0142358039,-0.0617254637
22.5355,0.49481976,-0.0139853526,-0.06330901
22.542,0.483858943,-0.0139715765,-0.06500517
22.5485,0.47221154,-0.0141250063,-0.0667500347
22.555,0.459429771,-0.0141500309,-0.06831372
22.5615,0.4466328,-0.0137968156,-0.06986315
22.568,0.434625983,-0.0130262729,-0.0714108646
22.5745,0.423971534,-0.0119498465,-0.0729157254
22.581,0.415145665,-0.0109906374,-0.07448743
22.5875,0.407890171,-0.0100824991,-0.0758810937
22.594,0.401927024,-0.009019229,-0.07689653
